,x,y,y+1,y+2,y+3
2019-11-06 00:00:00+00:00,257.24,256.4211,257.13278,264.16284,264.68646
2019-11-07 00:00:00+00:00,259.43,256.5092,260.339,263.67654,266.28598
2019-11-08 00:00:00+00:00,260.14,256.0039,260.2246,261.79602,266.02203
2019-11-11 00:00:00+00:00,262.2,260.35712,261.8096,263.4378,266.50714
2019-11-12 00:00:00+00:00,261.96,258.88434,261.85977,265.70032,265.98306
2019-11-13 00:00:00+00:00,264.47,261.92468,259.8512,255.66052,258.17218
2019-11-14 00:00:00+00:00,262.64,258.93994,258.33453,250.71365,247.14041
2019-11-15 00:00:00+00:00,265.76,259.21124,258.31216,251.51703,242.42093
2019-11-18 00:00:00+00:00,267.1,264.02618,259.45486,234.9246,208.96458
2019-11-19 00:00:00+00:00,266.29,260.8318,258.85706,247.015,226.20943
