,x,y,y+1,y+2,y+3
2019-10-17,235.28,230.18243,225.77696,221.51239,214.78357
2019-10-18,236.41,235.29388,230.39197,226.51407,221.3118
2019-10-21,240.51,241.73381,231.65022,224.63747,219.15657
2019-10-22,239.96,236.19331,227.13977,228.53268,221.55098
2019-10-23,243.18,234.64732,227.62328,222.91833,217.56894
2019-10-24,243.58,243.4036,241.14726,226.86943,220.93568
2019-10-25,246.58,241.4148,232.87595,223.36656,219.6523
2019-10-28,249.05,244.1452,240.91652,230.45076,218.83809
2019-10-29,243.29,239.94577,238.64777,232.33023,233.14613
2019-10-30,243.26,234.08598,226.61302,229.29225,228.12856
