,x,y,y+1,y+2,y+3
2019-11-07 00:00:00+00:00,259.43,256.62784,259.8531,262.6364,266.31534
2019-11-08 00:00:00+00:00,260.14,256.0466,259.41943,260.42972,264.44913
2019-11-11 00:00:00+00:00,262.2,259.8954,262.0229,263.22546,266.51093
2019-11-12 00:00:00+00:00,261.96,258.90765,261.73886,265.5657,266.08163
2019-11-13 00:00:00+00:00,264.47,261.74042,259.86337,255.40317,257.44492
2019-11-14 00:00:00+00:00,262.64,259.17938,258.20038,250.20537,246.42491
2019-11-15 00:00:00+00:00,265.76,259.11392,258.24835,251.0738,240.44843
2019-11-18 00:00:00+00:00,267.1,264.02304,259.42838,232.77422,208.7651
2019-11-19 00:00:00+00:00,266.29,261.3975,259.4034,247.7877,226.13553
2019-11-20 00:00:00+00:00,263.19,257.38535,255.6611,252.10672,253.45709
