,x,y,y+1,y+2,y+3
2019-10-25,246.58,250.4769,252.31717,257.44885,258.4275
2019-10-28,249.05,253.11655,252.52394,253.01137,257.2135
2019-10-29,243.29,247.83049,249.61655,251.25668,256.7406
2019-10-30,243.26,246.85768,248.06844,242.25359,232.01091
2019-10-31,248.76,256.71225,255.18861,250.74872,256.05734
2019-11-01,255.82,255.51663,253.21484,253.83147,247.80585
2019-11-04,257.5,255.44958,254.36353,250.33362,250.4788
2019-11-05,257.13,251.4501,254.10579,246.61673,247.75465
2019-11-06,257.24,253.41039,251.41212,242.87416,237.95572
2019-11-07,259.43,252.27304,241.53679,235.05002,226.55722
