,x,y,y+1,y+2,y+3
2019-10-30,243.26,249.52727,255.69371,251.90959,245.37141
2019-10-31,248.76,259.13483,256.8216,251.5571,258.11444
2019-11-01,255.82,257.41116,256.7041,256.67056,251.9882
2019-11-04,257.5,259.50687,258.005,255.49513,254.66248
2019-11-05,257.13,253.67587,256.1806,249.88556,252.21075
2019-11-06,257.24,254.54286,252.003,249.72581,247.47693
2019-11-07,259.43,254.5192,251.42345,246.90625,237.57266
2019-11-08,260.14,253.52203,253.19983,251.461,245.4036
2019-11-11,262.2,255.07617,253.81523,251.56511,251.7879
2019-11-12,261.96,256.91406,258.66504,252.67577,216.50331
