,x,y,y+1,y+2,y+3
2019-10-21,240.51,252.53914,247.70993,231.21938,229.07922
2019-10-22,239.96,243.02197,229.26003,226.05908,222.87535
2019-10-23,243.18,240.999,234.89436,227.21626,223.61685
2019-10-24,243.58,248.30179,245.45851,229.79353,221.87894
2019-10-25,246.58,247.97011,240.69646,227.87744,220.66153
2019-10-28,249.05,250.585,249.15988,240.30247,232.12607
2019-10-29,243.29,243.22235,241.14783,236.88846,235.61488
2019-10-30,243.26,237.16324,229.8951,229.70952,245.07272
2019-10-31,248.76,247.22887,245.29071,241.4191,243.63159
2019-11-01,255.82,249.36827,238.41997,228.67255,220.53627
