,x,y,y+1,y+2,y+3
2019-10-22,239.96,247.8197,237.19978,230.68173,227.47598
2019-10-23,243.18,247.70491,249.4165,253.21681,246.64397
2019-10-24,243.58,250.5336,250.95433,251.57204,255.97096
2019-10-25,246.58,249.67628,252.36304,256.99634,255.76883
2019-10-28,249.05,252.38972,252.65427,253.81133,254.38258
2019-10-29,243.29,246.92293,238.26643,237.9341,223.78821
2019-10-30,243.26,233.19514,232.00743,214.12123,222.94931
2019-10-31,248.76,253.47112,252.2027,246.31273,251.08603
2019-11-01,255.82,252.38004,248.46146,250.10188,244.47426
2019-11-04,257.5,250.96088,245.61389,235.35152,239.02171
