,x,y,y+1,y+2,y+3
2019-10-18,236.41,237.53548,234.03937,228.63217,225.42888
2019-10-21,240.51,242.16798,233.11163,224.65521,219.15288
2019-10-22,239.96,237.23772,227.20413,228.0666,220.98012
2019-10-23,243.18,236.21774,230.2648,222.77734,216.78789
2019-10-24,243.58,243.72697,242.8796,228.61105,220.74718
2019-10-25,246.58,242.31499,233.66916,222.95143,219.86018
2019-10-28,249.05,244.3425,241.05656,232.15839,222.83195
2019-10-29,243.29,240.07416,238.34915,231.74014,233.0242
2019-10-30,243.26,233.88548,226.59206,229.61992,229.40497
2019-10-31,248.76,242.97841,241.22002,227.84363,224.09232
