,x,y,y+1,y+2,y+3
2020-02-04 00:00:00+00:00,318.85,313.56158,315.62885,321.69946,322.45584
2020-02-05 00:00:00+00:00,321.45,313.73938,316.05017,322.8624,321.96347
2020-02-06 00:00:00+00:00,325.21,312.7193,312.8269,307.43616,298.82785
2020-02-07 00:00:00+00:00,320.03,306.532,296.8333,293.75998,290.51172
2020-02-10 00:00:00+00:00,321.55,298.1122,288.1118,290.9392,295.70456
2020-02-11 00:00:00+00:00,319.61,290.44574,286.2994,297.4064,303.84546
2020-02-12 00:00:00+00:00,327.2,288.57205,284.98398,297.41278,304.35916
2020-02-13 00:00:00+00:00,324.87,292.74878,287.0118,293.62082,295.55167
2020-02-14 00:00:00+00:00,324.95,293.64722,288.9138,293.8431,294.97095
2020-02-18 00:00:00+00:00,319.0,290.70148,292.23386,291.02728,287.7664
