,x,y,y+1,y+2,y+3
2019-10-29,243.29,247.47606,251.59416,253.3995,259.48404
2019-10-30,243.26,251.46838,256.36148,252.32166,244.07222
2019-10-31,248.76,259.75116,257.74268,252.37038,259.4017
2019-11-01,255.82,257.78067,256.64597,256.78214,251.61813
2019-11-04,257.5,259.46643,258.1854,255.31361,253.4457
2019-11-05,257.13,253.83452,256.4073,249.3992,251.70566
2019-11-06,257.24,255.5153,252.76848,248.7119,245.52803
2019-11-07,259.43,254.68083,249.33281,241.77513,232.11852
2019-11-08,260.14,253.78314,249.34186,240.24976,231.24173
2019-11-11,262.2,253.57089,250.59592,244.47437,234.85275
