,x,y,y+1,y+2,y+3
2019-10-09,227.03,232.73889,235.22763,238.37349,237.75336
2019-10-10,230.09,235.96992,238.92307,234.5366,239.78644
2019-10-11,236.21,235.55276,238.09764,223.12186,208.27687
2019-10-14,235.87,234.65593,223.79721,213.43968,204.38742
2019-10-15,235.32,230.88428,218.57126,213.58287,208.05293
2019-10-16,234.37,228.2595,215.51971,215.021,209.15594
2019-10-17,235.28,227.0732,217.59648,215.85162,212.4535
2019-10-18,236.41,229.93953,219.4973,215.43571,209.485
2019-10-21,240.51,234.02461,222.90771,219.27293,212.2558
2019-10-22,239.96,228.49226,219.9619,224.38809,218.07468
