,x,y,y+1,y+2,y+3
2019-11-04,257.5,262.0392,259.83405,259.18228,258.19537
2019-11-05,257.13,256.7002,258.40527,253.41252,257.29767
2019-11-06,257.24,256.609,254.8965,258.2029,259.42358
2019-11-07,259.43,257.33954,257.4444,261.87473,265.32245
2019-11-08,260.14,256.58353,258.99783,264.44016,264.3665
2019-11-11,262.2,259.0846,258.8684,262.26794,264.7387
2019-11-12,261.96,258.62067,260.87112,264.28766,264.1414
2019-11-13,264.47,258.11005,256.42676,248.0762,225.90565
2019-11-14,262.64,259.33353,256.1632,243.61908,237.57361
2019-11-15,265.76,254.56886,253.25375,246.29347,236.5795
