,x,y,y+1,y+2,y+3
2020-02-03 00:00:00+00:00,308.66,299.39835,297.5204,291.4433,298.45084
2020-02-04 00:00:00+00:00,318.85,316.6677,310.89212,321.55817,316.60077
2020-02-05 00:00:00+00:00,321.45,318.89682,323.29306,313.7401,298.33237
2020-02-06 00:00:00+00:00,325.21,320.0356,321.6456,319.09885,308.2469
2020-02-07 00:00:00+00:00,320.03,319.34677,314.35196,310.3243,311.25958
2020-02-10 00:00:00+00:00,321.55,314.27908,303.57834,308.55533,307.68173
2020-02-11 00:00:00+00:00,319.61,312.0872,312.5575,313.87604,311.3995
2020-02-12 00:00:00+00:00,327.2,317.85773,320.5612,311.0839,303.42657
2020-02-13 00:00:00+00:00,324.87,318.77695,316.51358,311.2777,289.92053
2020-02-14 00:00:00+00:00,324.95,303.36163,298.1481,295.84058,278.31802
