,x,y,y+1,y+2,y+3
2019-11-01,255.82,259.42603,260.86847,256.82742,257.63522
2019-11-04,257.5,261.0446,258.6901,257.93652,257.11084
2019-11-05,257.13,255.43486,257.51456,252.39621,255.77689
2019-11-06,257.24,255.92845,253.7778,255.48073,255.81206
2019-11-07,259.43,256.74893,256.12863,261.2961,263.9328
2019-11-08,260.14,255.86711,257.77847,263.77396,263.13525
2019-11-11,262.2,258.29498,257.44604,260.9174,262.52414
2019-11-12,261.96,257.99545,260.2918,262.57004,261.11575
2019-11-13,264.47,257.05298,255.61414,247.31187,220.97313
2019-11-14,262.64,258.55304,255.6961,246.62405,237.17683
