,x,y,y+1,y+2,y+3
2019-10-24,243.58,249.85788,249.79356,250.925,256.1665
2019-10-25,246.58,249.77312,251.66743,256.43436,255.6056
2019-10-28,249.05,252.26686,251.31416,251.14418,255.15182
2019-10-29,243.29,248.25565,248.98718,248.87376,255.21455
2019-10-30,243.26,244.09937,242.5536,229.679,228.03004
2019-10-31,248.76,254.38567,254.18326,251.51953,253.42462
2019-11-01,255.82,253.46147,251.98798,252.58543,246.47108
2019-11-04,257.5,252.9361,251.71118,247.36952,249.09846
2019-11-05,257.13,250.90038,251.70012,248.03596,246.13666
2019-11-06,257.24,252.20354,251.12143,247.28635,234.2982
