,x,y,y+1,y+2,y+3
2019-11-05 00:00:00+00:00,257.13,259.0017,259.50745,254.03984,259.69608
2019-11-06 00:00:00+00:00,257.24,256.5294,256.7794,263.10455,263.968
2019-11-07 00:00:00+00:00,259.43,256.91135,259.69702,263.36542,266.42908
2019-11-08 00:00:00+00:00,260.14,256.8113,260.308,262.69562,265.79492
2019-11-11 00:00:00+00:00,262.2,259.94815,261.35797,263.3326,266.57535
2019-11-12 00:00:00+00:00,261.96,259.23996,261.73557,265.72308,265.84225
2019-11-13 00:00:00+00:00,264.47,261.29117,259.16415,253.47504,246.9101
2019-11-14 00:00:00+00:00,262.64,259.50122,257.88998,249.35632,244.01958
2019-11-15 00:00:00+00:00,265.76,258.06818,257.35638,249.84332,238.6287
2019-11-18 00:00:00+00:00,267.1,264.03372,259.6183,228.15187,207.3875
