,x,y,y+1,y+2,y+3
2019-11-08 00:00:00+00:00,260.14,256.98544,262.6701,265.29672,265.5881
2019-11-11 00:00:00+00:00,262.2,262.20822,262.3817,263.36777,266.36252
2019-11-12 00:00:00+00:00,261.96,259.2792,262.79584,265.85214,265.89545
2019-11-13 00:00:00+00:00,264.47,263.20798,260.89673,257.2188,260.94443
2019-11-14 00:00:00+00:00,262.64,258.39264,258.48825,251.44145,247.15651
2019-11-15 00:00:00+00:00,265.76,260.82446,259.24283,252.3059,247.11177
2019-11-18 00:00:00+00:00,267.1,264.31357,259.70657,237.37877,208.88515
2019-11-19 00:00:00+00:00,266.29,261.4047,259.53955,247.98553,226.05005
2019-11-20 00:00:00+00:00,263.19,257.3862,255.94568,251.70575,253.11632
2019-11-21 00:00:00+00:00,262.01,251.71548,247.06647,247.34267,245.09648
