,x,y,y+1,y+2,y+3
2019-10-31,248.76,261.56125,259.6992,256.85468,259.35574
2019-11-01,255.82,258.5789,259.81918,258.30753,256.65408
2019-11-04,257.5,261.23932,259.50458,257.2699,257.60776
2019-11-05,257.13,255.74023,257.54062,252.39998,255.1535
2019-11-06,257.24,255.9703,253.18852,253.7941,252.58159
2019-11-07,259.43,256.42462,255.32756,259.88013,263.61823
2019-11-08,260.14,255.54655,257.03143,263.04163,263.2288
2019-11-11,262.2,258.0968,257.3417,258.76395,258.11224
2019-11-12,261.96,257.9946,260.66962,260.6792,252.79575
2019-11-13,264.47,257.27264,254.89217,246.10997,213.97299
