,x,y,y+1,y+2,y+3
2019-10-28,249.05,253.42706,252.84909,253.98354,258.24817
2019-10-29,243.29,247.20522,249.54364,251.6903,257.518
2019-10-30,243.26,248.81711,251.14186,246.44891,233.3701
2019-10-31,248.76,257.4557,255.7368,250.87369,256.8103
2019-11-01,255.82,255.79535,254.06949,254.5446,248.99657
2019-11-04,257.5,256.89355,255.44672,251.7383,251.51324
2019-11-05,257.13,251.73914,254.65645,246.90144,249.00504
2019-11-06,257.24,254.18877,251.69942,244.36763,240.66258
2019-11-07,259.43,252.83803,243.65768,236.59116,228.00473
2019-11-08,260.14,253.15866,244.75807,235.96843,227.005
